level,alignment,pos_group,player,team,position,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
per_player,concurrent (W vs W),WR_TE,DJ Moore,CHI,WR,fantasy_points_ppr,17,0.7304,0.0009,0.6609,0.0039,0.7513,***,**
per_player,concurrent (W vs W),RB,Jonathan Taylor,IND,RB,fantasy_points_ppr,17,0.6856,0.0024,0.6471,0.005,0.6944,**,**
per_player,concurrent (W vs W),QB,Daniel Jones,IND,QB,fantasy_points_ppr,13,0.6261,0.0221,0.6209,0.0235,0.7079,*,*
per_player,sentiment index leads (sent W -> perf W+1),QB,Daniel Jones,IND,QB,fantasy_points_ppr,12,0.5471,0.0656,0.6084,0.0358,0.6519,,*
per_player,concurrent (W vs W),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,14,0.569,0.0337,0.5853,0.0279,0.6105,*,*
per_player,sentiment index leads (sent W -> perf W+1),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,13,0.373,0.2094,0.544,0.0546,0.4272,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,7,0.5731,0.1786,0.5357,0.2152,0.7141,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,14,-0.4743,0.0866,-0.5253,0.0537,0.5831,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Travis Kelce,KC,TE,fantasy_points_ppr,16,-0.4033,0.1213,-0.5092,0.044,0.4788,,*
per_player,perf leads (perf W -> sent W+1),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,16,-0.5238,0.0373,-0.4941,0.0517,0.5826,*,
per_player,perf leads (perf W -> sent W+1),WR_TE,George Pickens,DAL,WR,fantasy_points_ppr,16,0.49,0.054,0.4831,0.058,0.5688,,
per_player,perf leads (perf W -> sent W+1),QB,Drake Maye,NE,QB,fantasy_points_ppr,16,0.3386,0.1996,0.4794,0.0602,0.5653,,
per_player,concurrent (W vs W),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,17,-0.4294,0.0854,-0.4755,0.0537,0.4894,,
per_player,perf leads (perf W -> sent W+1),RB,Saquon Barkley,PHI,RB,fantasy_points_ppr,16,0.4131,0.1118,0.465,0.0695,0.5403,,
per_player,concurrent (W vs W),RB,Javonte Williams,DAL,RB,fantasy_points_ppr,16,0.3735,0.1541,0.4471,0.0825,0.5703,,
per_player,concurrent (W vs W),QB,Dak Prescott,DAL,QB,fantasy_points_ppr,17,0.4953,0.0432,0.4412,0.0763,0.5652,*,
per_player,concurrent (W vs W),WR_TE,Dalton Kincaid,BUF,TE,fantasy_points_ppr,12,0.5164,0.0856,0.4266,0.1667,0.5639,,
per_player,concurrent (W vs W),WR_TE,Ja'Marr Chase,CIN,WR,fantasy_points_ppr,16,0.5129,0.0422,0.4029,0.1217,0.5189,*,
per_player,perf leads (perf W -> sent W+1),WR_TE,CeeDee Lamb,DAL,WR,fantasy_points_ppr,13,0.5622,0.0455,0.4011,0.1744,0.6285,*,
per_player,concurrent (W vs W),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,17,0.4217,0.0918,0.3946,0.117,0.5664,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,16,-0.3896,0.1358,-0.3885,0.137,0.4348,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,15,-0.3454,0.2073,-0.3857,0.1556,0.4835,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,14,-0.3699,0.193,-0.3828,0.1767,0.4505,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,16,0.4006,0.1242,0.3824,0.1439,0.4237,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Ja'Marr Chase,CIN,WR,fantasy_points_ppr,15,-0.2731,0.3247,-0.375,0.1684,0.4464,,
per_player,perf leads (perf W -> sent W+1),RB,Jonathan Taylor,IND,RB,fantasy_points_ppr,16,-0.2275,0.3968,-0.3706,0.1577,0.5137,,
per_player,sentiment index leads (sent W -> perf W+1),RB,Saquon Barkley,PHI,RB,fantasy_points_ppr,15,0.2338,0.4018,0.3664,0.1792,0.3425,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Dalton Kincaid,BUF,TE,fantasy_points_ppr,11,-0.4095,0.211,-0.3636,0.2716,0.547,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,DJ Moore,CHI,WR,fantasy_points_ppr,16,-0.3334,0.207,-0.3606,0.1701,0.4326,,
per_player,perf leads (perf W -> sent W+1),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,16,0.4108,0.114,0.3353,0.2043,0.4691,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,9,0.2458,0.5238,0.3347,0.3786,0.5223,,
per_player,concurrent (W vs W),QB,Josh Allen,BUF,QB,fantasy_points_ppr,16,-0.3163,0.2326,-0.3324,0.2085,0.4113,,
per_player,perf leads (perf W -> sent W+1),QB,Josh Allen,BUF,QB,fantasy_points_ppr,16,0.3372,0.2015,0.3176,0.2306,0.4358,,
per_player,concurrent (W vs W),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,14,0.5751,0.0314,0.3124,0.2768,0.5388,*,
per_player,sentiment index leads (sent W -> perf W+1),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,16,0.2186,0.416,0.3118,0.2398,0.4525,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,8,0.4144,0.3074,0.3114,0.4528,0.5813,,
per_player,concurrent (W vs W),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,16,0.2283,0.395,0.3059,0.2493,0.3306,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,13,0.3124,0.2988,0.3054,0.3103,0.5476,,
per_player,concurrent (W vs W),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,17,0.2813,0.2741,0.299,0.2437,0.421,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,16,-0.3705,0.1578,-0.2901,0.2757,0.5748,,
per_player,concurrent (W vs W),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,17,0.2945,0.2512,0.2745,0.2863,0.3125,,
