level,alignment,pos_group,player,team,position,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
per_player,sentiment index leads (sent W -> perf W+1),QB,Daniel Jones,IND,QB,fantasy_points_ppr,12,-0.4977,0.0996,-0.6503,0.022,0.5597,,*
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,16,-0.5451,0.029,-0.55,0.0273,0.5707,*,*
per_player,perf leads (perf W -> sent W+1),QB,Daniel Jones,IND,QB,fantasy_points_ppr,13,-0.3385,0.2579,-0.5,0.0819,0.6139,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,7,0.5197,0.2319,0.4865,0.2682,0.5887,,
per_player,concurrent (W vs W),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,14,-0.4901,0.0752,-0.4857,0.0783,0.5156,,
per_player,concurrent (W vs W),QB,Daniel Jones,IND,QB,fantasy_points_ppr,13,-0.2947,0.3284,-0.4835,0.0941,0.5462,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,16,0.4903,0.0539,0.4765,0.0621,0.4895,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,16,-0.4709,0.0656,-0.4706,0.0658,0.5597,,
per_player,concurrent (W vs W),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,17,-0.4457,0.073,-0.424,0.0898,0.4933,,
per_player,concurrent (W vs W),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,9,0.3608,0.3401,0.4167,0.2646,0.4801,,
per_player,concurrent (W vs W),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,17,0.4727,0.0554,0.4093,0.1028,0.5056,,
per_player,perf leads (perf W -> sent W+1),RB,Jonathan Taylor,IND,RB,fantasy_points_ppr,16,-0.408,0.1167,-0.4029,0.1217,0.5168,,
per_player,concurrent (W vs W),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,15,0.1127,0.6894,0.3964,0.1435,0.3734,,
per_player,concurrent (W vs W),RB,Jonathan Taylor,IND,RB,fantasy_points_ppr,17,-0.325,0.2031,-0.3946,0.117,0.4872,,
per_player,concurrent (W vs W),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,17,-0.3971,0.1145,-0.3946,0.117,0.4943,,
per_player,concurrent (W vs W),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,14,-0.3856,0.1734,-0.3846,0.1745,0.4408,,
per_player,sentiment index leads (sent W -> perf W+1),RB,Jonathan Taylor,IND,RB,fantasy_points_ppr,16,-0.3883,0.1373,-0.3735,0.1541,0.4879,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,13,-0.4363,0.1361,-0.3681,0.2159,0.4798,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Joe Burrow,CIN,QB,fantasy_points_ppr,7,-0.1055,0.8218,-0.3571,0.4316,0.4703,,
per_player,concurrent (W vs W),WR_TE,George Pickens,DAL,WR,fantasy_points_ppr,17,-0.3917,0.12,-0.3505,0.1678,0.4675,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,13,-0.2315,0.4466,-0.3411,0.254,0.415,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,16,-0.3673,0.1616,-0.3353,0.2043,0.4462,,
per_player,sentiment index leads (sent W -> perf W+1),RB,Javonte Williams,DAL,RB,fantasy_points_ppr,15,-0.2561,0.3569,-0.325,0.2372,0.374,,
per_player,perf leads (perf W -> sent W+1),QB,Joe Burrow,CIN,QB,fantasy_points_ppr,7,0.2348,0.6124,0.3214,0.4821,0.4847,,
per_player,perf leads (perf W -> sent W+1),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,16,0.2272,0.3975,0.3206,0.226,0.2982,,
per_player,concurrent (W vs W),WR_TE,Travis Kelce,KC,TE,fantasy_points_ppr,17,0.2297,0.3752,0.3186,0.2126,0.3912,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,16,-0.2574,0.3359,-0.3118,0.2398,0.3476,,
per_player,perf leads (perf W -> sent W+1),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,16,-0.3902,0.1351,-0.3118,0.2398,0.4772,,
per_player,concurrent (W vs W),RB,Javonte Williams,DAL,RB,fantasy_points_ppr,16,-0.281,0.2917,-0.3088,0.2445,0.3545,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,16,-0.249,0.3524,-0.3,0.2589,0.3965,,
per_player,concurrent (W vs W),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,17,0.31,0.2259,0.299,0.2437,0.3972,,
per_player,perf leads (perf W -> sent W+1),QB,Drake Maye,NE,QB,fantasy_points_ppr,16,-0.3823,0.144,-0.2971,0.2639,0.4856,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,7,0.3895,0.3877,0.2883,0.5307,0.5406,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Drake Maye,NE,QB,fantasy_points_ppr,16,-0.3337,0.2066,-0.2882,0.279,0.4495,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Dalton Kincaid,BUF,TE,fantasy_points_ppr,11,-0.2734,0.4159,-0.287,0.3921,0.5024,,
per_player,concurrent (W vs W),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,17,-0.2239,0.3876,-0.2794,0.2774,0.3286,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Travis Kelce,KC,TE,fantasy_points_ppr,16,0.1722,0.5236,0.2706,0.3108,0.3316,,
per_player,concurrent (W vs W),QB,Josh Allen,BUF,QB,fantasy_points_ppr,16,0.2848,0.285,0.2676,0.3163,0.4377,,
per_player,concurrent (W vs W),QB,Drake Maye,NE,QB,fantasy_points_ppr,17,-0.3299,0.1959,-0.2672,0.2999,0.4281,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Travis Kelce,KC,TE,fantasy_points_ppr,16,0.2122,0.4302,0.2647,0.3218,0.3845,,
per_player,perf leads (perf W -> sent W+1),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,16,0.2433,0.3639,0.2618,0.3274,0.3534,,
per_player,perf leads (perf W -> sent W+1),WR_TE,George Pickens,DAL,WR,fantasy_points_ppr,16,-0.381,0.1454,-0.2588,0.3331,0.4559,,
per_player,perf leads (perf W -> sent W+1),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,16,0.2291,0.3933,0.2588,0.3331,0.3592,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,George Pickens,DAL,WR,fantasy_points_ppr,16,-0.3961,0.1288,-0.25,0.3504,0.4831,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,16,0.3703,0.1579,0.2441,0.3622,0.4014,,
per_player,perf leads (perf W -> sent W+1),WR_TE,CeeDee Lamb,DAL,WR,fantasy_points_ppr,13,0.324,0.2802,0.2173,0.4757,0.4807,,
per_player,concurrent (W vs W),QB,Joe Burrow,CIN,QB,fantasy_points_ppr,8,-0.1217,0.774,-0.2143,0.6103,0.494,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,14,0.0658,0.8233,0.2088,0.4738,0.2735,,
per_player,concurrent (W vs W),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,14,-0.1498,0.6093,-0.2046,0.4829,0.331,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,13,-0.2842,0.3467,-0.1758,0.5656,0.3839,,
per_player,concurrent (W vs W),RB,James Cook,BUF,RB,fantasy_points_ppr,17,0.2147,0.4079,0.174,0.5041,0.3908,,
