level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,concurrent (W vs W),QB,stats_passing_pass_yards,152,0.2101,0.0094,0.2294,0.0045,0.253,**,**
population,concurrent (W vs W),RB,fantasy_points_ppr,100,0.2306,0.021,0.2004,0.0456,0.246,*,*
population,concurrent (W vs W),RB,stats_rushing_rush_td,100,0.2357,0.0182,0.2002,0.0458,0.2387,*,*
population,concurrent (W vs W),QB,fantasy_points_ppr,152,0.1731,0.033,0.186,0.0217,0.2226,*,*
population,concurrent (W vs W),QB,stats_passing_qb_rating,152,0.1316,0.1061,0.1847,0.0228,0.1934,,*
population,concurrent (W vs W),WR_TE,fantasy_points_ppr,248,0.1569,0.0133,0.1798,0.0045,0.196,*,**
population,concurrent (W vs W),QB,stats_passing_pass_td,152,0.1539,0.0584,0.1738,0.0323,0.1929,,*
population,concurrent (W vs W),WR_TE,stats_receiving_rec_yards,248,0.1481,0.0196,0.1652,0.0092,0.1841,*,**
population,concurrent (W vs W),WR_TE,stats_receiving_rec_td,248,0.1421,0.0252,0.1494,0.0185,0.1579,*,*
population,concurrent (W vs W),QB,stats_passing_pass_int,152,-0.2336,0.0038,-0.1461,0.0725,0.2036,**,
population,perf leads (perf W -> sent W+1),RB,stats_receiving_rec_td,96,-0.145,0.1588,-0.1438,0.1622,0.1565,,
population,concurrent (W vs W),RB,stats_receiving_rec_yards,100,0.1103,0.2747,0.1356,0.1785,0.1851,,
population,concurrent (W vs W),DEF,stats_interceptions_passes_defended,211,0.1243,0.0715,0.1329,0.0539,0.15,,
population,concurrent (W vs W),WR_TE,stats_snap_counts_offense_snaps,248,-0.0747,0.2413,-0.1313,0.0387,0.1484,,*
population,perf leads (perf W -> sent W+1),DEF,stats_snap_counts_offense_snaps,202,-0.1197,0.0897,-0.1312,0.0627,0.1443,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,stats_receiving_rec_td,232,-0.1642,0.0123,-0.1269,0.0536,0.1562,*,
