level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,perf leads (perf W -> sent W+1),DEF,stats_tackles_sacks,202,-0.1109,0.116,-0.1844,0.0086,0.1898,,**
population,sentiment index leads (sent W -> perf W+1),RB,stats_receiving_receptions,94,-0.1784,0.0854,-0.1821,0.079,0.2299,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_receiving_rec_yards,94,-0.1735,0.0944,-0.1738,0.0939,0.2123,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_receiving_targets,94,-0.1639,0.1144,-0.1692,0.103,0.2238,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_snap_counts_offense_snaps,94,-0.1682,0.1051,-0.168,0.1056,0.228,,
population,sentiment index leads (sent W -> perf W+1),RB,total_opportunities,94,-0.1541,0.1382,-0.1671,0.1075,0.2108,,
population,sentiment index leads (sent W -> perf W+1),RB,total_touches,94,-0.1545,0.137,-0.1643,0.1135,0.2093,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_rushing_rush_attempts,94,-0.149,0.1517,-0.1617,0.1195,0.2043,,
population,sentiment index leads (sent W -> perf W+1),DEF,stats_tackles_sacks,198,-0.1276,0.0731,-0.1592,0.025,0.1561,,*
population,concurrent (W vs W),DEF,stats_tackles_sacks,211,-0.0943,0.1725,-0.1588,0.021,0.1556,,*
population,sentiment index leads (sent W -> perf W+1),RB,fantasy_points_ppr,94,-0.1473,0.1566,-0.1541,0.138,0.1947,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_receiving_rec_td,94,-0.152,0.1435,-0.1443,0.1652,0.1826,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_rushing_rush_yards,94,-0.1315,0.2063,-0.1418,0.1728,0.1889,,
population,perf leads (perf W -> sent W+1),RB,stats_receiving_rec_td,96,-0.1252,0.2243,-0.14,0.1736,0.1879,,
population,perf leads (perf W -> sent W+1),QB,stats_passing_qb_rating,146,-0.1276,0.1248,-0.1355,0.1029,0.159,,
population,concurrent (W vs W),DEF,stats_fumbles_fum_forced,211,-0.0912,0.1872,-0.1276,0.0642,0.1309,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_rushing_rush_td,142,-0.1675,0.0463,-0.1233,0.1438,0.1996,*,
population,perf leads (perf W -> sent W+1),DEF,stats_fumbles_fum_forced,202,-0.0954,0.1767,-0.1222,0.0832,0.1342,,
population,concurrent (W vs W),RB,stats_snap_counts_offense_snaps,100,-0.1126,0.2646,-0.1178,0.2432,0.1786,,
population,concurrent (W vs W),RB,total_touches,100,-0.1012,0.3162,-0.115,0.2544,0.1643,,
population,concurrent (W vs W),RB,total_opportunities,100,-0.1017,0.3143,-0.1117,0.2683,0.1659,,
population,concurrent (W vs W),RB,stats_rushing_rush_attempts,100,-0.1019,0.313,-0.11,0.2761,0.1631,,
population,concurrent (W vs W),QB,stats_passing_qb_rating,152,-0.0851,0.2975,-0.1055,0.1959,0.1366,,
population,concurrent (W vs W),QB,stats_rushing_rush_td,152,-0.1454,0.0738,-0.1034,0.2047,0.1832,,
population,sentiment index leads (sent W -> perf W+1),RB,stats_rushing_rush_td,94,-0.1157,0.267,-0.1005,0.3352,0.16,,
population,concurrent (W vs W),RB,stats_receiving_targets,100,-0.0886,0.3805,-0.1003,0.3208,0.1609,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_pass_int,142,-0.1061,0.2089,-0.0987,0.2428,0.175,,
population,perf leads (perf W -> sent W+1),RB,stats_rushing_rush_attempts,96,-0.095,0.3574,-0.098,0.3421,0.1631,,
population,sentiment index leads (sent W -> perf W+1),DEF,stats_fumbles_fum_forced,198,-0.0555,0.437,-0.0961,0.1782,0.1026,,
population,concurrent (W vs W),RB,stats_receiving_receptions,100,-0.0857,0.3966,-0.0959,0.3424,0.1585,,
population,perf leads (perf W -> sent W+1),RB,total_opportunities,96,-0.0914,0.376,-0.0949,0.3577,0.164,,
