source,alignment,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
Google,concurrent (W vs W),pass_td,169,0.113,0.1435,0.0909,0.2398,0.1692,,
Google,concurrent (W vs W),rush_td,169,-0.0904,0.2424,-0.0838,0.2789,0.1471,,
Google,concurrent (W vs W),passes_defended,169,0.0601,0.4379,0.0671,0.3859,0.1094,,
Google,concurrent (W vs W),pass_int,169,-0.0035,0.9641,-0.0664,0.3907,0.1172,,
Google,concurrent (W vs W),defensive_stops,169,0.0591,0.445,0.06,0.4383,0.099,,
Google,concurrent (W vs W),sacks,169,0.0352,0.6494,0.0549,0.4783,0.0934,,
Google,concurrent (W vs W),interceptions,169,0.0671,0.386,0.0477,0.5383,0.0975,,
Google,concurrent (W vs W),opp_offense_dvoa,169,-0.0214,0.7822,-0.0466,0.5474,0.1078,,
Google,concurrent (W vs W),total_yards,169,-0.0383,0.6209,-0.0438,0.5721,0.1106,,
Google,concurrent (W vs W),targets,169,-0.0252,0.7454,-0.043,0.5788,0.1293,,
Google,concurrent (W vs W),opp_defense_dvoa,169,0.0602,0.4372,0.0421,0.5866,0.1005,,
Google,concurrent (W vs W),rush_yards,169,-0.0283,0.7153,-0.0343,0.6584,0.0939,,
Google,concurrent (W vs W),tackles,169,0.0021,0.9789,-0.0336,0.665,0.1257,,
Google,concurrent (W vs W),completion_pct,169,0.0597,0.4406,0.0303,0.6957,0.1053,,
Google,concurrent (W vs W),total_fantasy_pts,169,0.0187,0.8094,0.0235,0.7613,0.1197,,
Google,concurrent (W vs W),total_td,169,0.0295,0.7037,0.0135,0.8621,0.0971,,
Google,concurrent (W vs W),total_opps,169,-0.0338,0.663,0.0121,0.8761,0.0989,,
Google,concurrent (W vs W),receptions,169,-0.0188,0.8081,-0.0118,0.8791,0.1112,,
Google,concurrent (W vs W),yards_per_rush,169,-0.0353,0.6485,-0.0074,0.9244,0.1097,,
Google,concurrent (W vs W),total_touches,169,-0.0247,0.7496,0.0072,0.9257,0.1092,,
Google,concurrent (W vs W),pass_yards,169,-0.0218,0.778,-0.0061,0.9377,0.1139,,
Google,sentiment leads (sent W → perf W+1),opp_defense_dvoa,153,-0.1686,0.0372,-0.1801,0.0259,0.1935,*,*
Google,sentiment leads (sent W → perf W+1),pass_yards,153,-0.1956,0.0154,-0.1698,0.0359,0.2125,*,*
Google,sentiment leads (sent W → perf W+1),receptions,153,-0.1219,0.1332,-0.1471,0.0695,0.176,,
Google,sentiment leads (sent W → perf W+1),pass_td,153,-0.1396,0.0853,-0.1379,0.0891,0.1637,,
Google,sentiment leads (sent W → perf W+1),tackles,153,-0.1213,0.1353,-0.1049,0.1968,0.1491,,
Google,sentiment leads (sent W → perf W+1),rush_yards,153,0.1409,0.0824,0.104,0.2007,0.1346,,
Google,sentiment leads (sent W → perf W+1),total_fantasy_pts,153,-0.1161,0.153,-0.0905,0.2659,0.1348,,
Google,sentiment leads (sent W → perf W+1),targets,153,-0.076,0.3506,-0.0843,0.3001,0.1645,,
Google,sentiment leads (sent W → perf W+1),rush_td,153,0.1072,0.1872,0.0745,0.3601,0.1542,,
Google,sentiment leads (sent W → perf W+1),opp_offense_dvoa,153,-0.0734,0.3674,-0.0696,0.3928,0.1585,,
Google,sentiment leads (sent W → perf W+1),total_td,153,-0.0416,0.61,-0.0616,0.4491,0.1222,,
Google,sentiment leads (sent W → perf W+1),pass_int,153,-0.0964,0.236,-0.0607,0.4558,0.1306,,
