level,alignment,pos_group,player,team,position,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
per_player,concurrent (W vs W),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,12,0.6323,0.0274,0.7483,0.0051,0.7916,*,**
per_player,sentiment leads (sent W → perf W+1),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,10,-0.6328,0.0496,-0.7455,0.0133,0.6999,*,*
per_player,concurrent (W vs W),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,13,-0.5533,0.0498,-0.7363,0.0041,0.6962,*,**
per_player,concurrent (W vs W),RB,Jonathan Taylor,IND,RB,fantasy_points_ppr,17,0.6757,0.0029,0.7108,0.0014,0.6751,**,**
per_player,perf leads (perf W → sent W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,8,0.5735,0.1372,0.6905,0.058,0.6718,,
per_player,perf leads (perf W → sent W+1),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,7,0.6598,0.1068,0.6786,0.0938,0.7182,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,8,0.5672,0.1426,0.6429,0.0856,0.7133,,
per_player,concurrent (W vs W),QB,Dak Prescott,DAL,QB,fantasy_points_ppr,17,0.5806,0.0145,0.6373,0.0059,0.6355,*,**
per_player,concurrent (W vs W),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,9,-0.5582,0.1183,-0.636,0.0656,0.6524,,
per_player,concurrent (W vs W),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,15,0.6132,0.0151,0.6273,0.0123,0.635,*,*
per_player,sentiment leads (sent W → perf W+1),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,15,-0.5509,0.0333,-0.5903,0.0205,0.5808,*,*
per_player,perf leads (perf W → sent W+1),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,15,-0.6964,0.0039,-0.5714,0.0261,0.7278,**,*
per_player,concurrent (W vs W),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,17,0.6354,0.0061,0.5644,0.0183,0.643,**,*
per_player,concurrent (W vs W),WR_TE,DJ Moore,CHI,WR,fantasy_points_ppr,17,0.8178,0.0001,0.5579,0.0199,0.8584,***,*
per_player,concurrent (W vs W),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,10,0.3693,0.2937,0.5427,0.105,0.5712,,
per_player,sentiment leads (sent W → perf W+1),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,12,0.4325,0.1602,0.5315,0.0754,0.4721,,
per_player,sentiment leads (sent W → perf W+1),QB,Daniel Jones,IND,QB,fantasy_points_ppr,11,0.4497,0.1652,0.5273,0.0956,0.4839,,
per_player,perf leads (perf W → sent W+1),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,13,-0.46,0.1137,-0.5,0.0819,0.5141,,
per_player,concurrent (W vs W),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,17,0.6555,0.0043,0.5,0.041,0.6257,**,*
per_player,perf leads (perf W → sent W+1),WR_TE,CeeDee Lamb,DAL,WR,fantasy_points_ppr,12,0.4547,0.1375,0.4965,0.1006,0.6741,,
per_player,sentiment leads (sent W → perf W+1),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,15,0.441,0.0999,0.4915,0.0628,0.4694,,
per_player,perf leads (perf W → sent W+1),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,6,-0.1758,0.739,-0.4857,0.3287,0.568,,
per_player,perf leads (perf W → sent W+1),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,8,0.3994,0.327,0.4791,0.2297,0.5416,,
