level,alignment,pos_group,player,team,position,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
per_player,sentiment leads (sent W → perf W+1),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,5,-0.2531,0.6813,-0.7895,0.1122,0.4086,,
per_player,concurrent (W vs W),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,13,0.7032,0.0073,0.6703,0.0122,0.8139,**,*
per_player,perf leads (perf W → sent W+1),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,9,0.7207,0.0285,0.6167,0.0769,0.8606,*,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Keenan Allen,LAC,WR,fantasy_points_ppr,10,0.689,0.0275,0.5879,0.0739,0.7703,*,
per_player,perf leads (perf W → sent W+1),WR_TE,Travis Kelce,KC,TE,fantasy_points_ppr,12,0.3496,0.2654,0.5734,0.0513,0.4556,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Travis Kelce,KC,TE,fantasy_points_ppr,12,0.3447,0.2725,0.5455,0.0666,0.4847,,
per_player,concurrent (W vs W),WR_TE,Travis Kelce,KC,TE,fantasy_points_ppr,15,0.3969,0.143,0.504,0.0554,0.4821,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,8,-0.413,0.3092,-0.5,0.207,0.6649,,
per_player,perf leads (perf W → sent W+1),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,15,0.509,0.0527,0.4857,0.0664,0.5151,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,15,-0.34,0.215,-0.4714,0.0761,0.4855,,
per_player,perf leads (perf W → sent W+1),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,15,-0.446,0.0956,-0.4571,0.0867,0.4986,,
per_player,concurrent (W vs W),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,17,-0.3178,0.2138,-0.4436,0.0745,0.4301,,
per_player,concurrent (W vs W),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,17,-0.3207,0.2095,-0.4289,0.0858,0.4832,,
per_player,concurrent (W vs W),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,17,-0.3711,0.1425,-0.424,0.0898,0.4689,,
per_player,concurrent (W vs W),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,17,0.5222,0.0315,0.4216,0.0919,0.5596,*,
per_player,perf leads (perf W → sent W+1),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,11,-0.3829,0.2452,-0.41,0.2104,0.5638,,
per_player,concurrent (W vs W),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,11,-0.4305,0.1863,-0.4055,0.216,0.6413,,
per_player,concurrent (W vs W),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,14,-0.1966,0.5006,-0.4022,0.154,0.545,,
per_player,sentiment leads (sent W → perf W+1),QB,Sam Darnold,SEA,QB,fantasy_points_ppr,15,-0.3141,0.2543,-0.3929,0.1475,0.456,,
per_player,sentiment leads (sent W → perf W+1),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,11,0.3897,0.2361,0.3909,0.2345,0.5689,,
per_player,sentiment leads (sent W → perf W+1),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,15,-0.3494,0.2018,-0.3786,0.1641,0.4533,,
per_player,perf leads (perf W → sent W+1),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,15,0.3765,0.1666,0.3786,0.1641,0.4876,,
per_player,perf leads (perf W → sent W+1),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,15,-0.3376,0.2184,-0.3643,0.1819,0.4457,,
per_player,concurrent (W vs W),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,8,-0.3165,0.4451,-0.3593,0.3821,0.5086,,
per_player,concurrent (W vs W),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,15,0.3261,0.2355,0.35,0.2009,0.4616,,
per_player,perf leads (perf W → sent W+1),WR_TE,Dalton Kincaid,BUF,TE,fantasy_points_ppr,11,-0.3936,0.2311,-0.3462,0.2969,0.4957,,
per_player,perf leads (perf W → sent W+1),RB,Jonathan Taylor,IND,RB,fantasy_points_ppr,15,-0.2786,0.3146,-0.3286,0.2318,0.3786,,
per_player,perf leads (perf W → sent W+1),QB,Joe Burrow,CIN,QB,fantasy_points_ppr,7,0.3346,0.4632,0.3214,0.4821,0.5637,,
per_player,sentiment leads (sent W → perf W+1),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,15,0.4031,0.1363,0.3179,0.2483,0.5028,,
per_player,perf leads (perf W → sent W+1),WR_TE,Michael Pittman,IND,WR,fantasy_points_ppr,15,-0.2685,0.3332,-0.3143,0.2539,0.458,,
per_player,concurrent (W vs W),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,12,-0.2821,0.3744,-0.3047,0.3355,0.4995,,
per_player,sentiment leads (sent W → perf W+1),RB,James Cook,BUF,RB,fantasy_points_ppr,15,-0.226,0.418,-0.2857,0.3019,0.3704,,
per_player,perf leads (perf W → sent W+1),WR_TE,CeeDee Lamb,DAL,WR,fantasy_points_ppr,12,0.4389,0.1534,0.2837,0.3715,0.5355,,
per_player,concurrent (W vs W),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,10,-0.2057,0.5686,-0.2805,0.4325,0.2974,,
per_player,concurrent (W vs W),QB,Joe Burrow,CIN,QB,fantasy_points_ppr,8,-0.0844,0.8424,-0.2619,0.5309,0.4029,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,13,0.2619,0.3873,0.2473,0.4154,0.4279,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,10,-0.2649,0.4596,-0.2432,0.4984,0.4724,,
per_player,perf leads (perf W → sent W+1),QB,Drake Maye,NE,QB,fantasy_points_ppr,15,-0.2904,0.2937,-0.2393,0.3904,0.4083,,
per_player,sentiment leads (sent W → perf W+1),QB,Daniel Jones,IND,QB,fantasy_points_ppr,11,-0.1388,0.6839,-0.2273,0.5015,0.3042,,
per_player,perf leads (perf W → sent W+1),WR_TE,George Pickens,DAL,WR,fantasy_points_ppr,15,-0.2583,0.3527,-0.2214,0.4277,0.4003,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Ja'Marr Chase,CIN,WR,fantasy_points_ppr,14,0.1777,0.5434,0.22,0.4498,0.3221,,
per_player,perf leads (perf W → sent W+1),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,15,-0.03,0.9156,0.2143,0.4431,0.3811,,
per_player,concurrent (W vs W),RB,Jonathan Taylor,IND,RB,fantasy_points_ppr,17,-0.1182,0.6514,-0.2108,0.4167,0.2954,,
per_player,sentiment leads (sent W → perf W+1),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,12,-0.0316,0.9224,-0.2098,0.5128,0.5192,,
per_player,perf leads (perf W → sent W+1),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,13,-0.0989,0.7479,-0.2088,0.4936,0.4674,,
per_player,perf leads (perf W → sent W+1),WR_TE,DJ Moore,CHI,WR,fantasy_points_ppr,15,0.0061,0.9828,0.2055,0.4624,0.228,,
per_player,perf leads (perf W → sent W+1),QB,Josh Allen,BUF,QB,fantasy_points_ppr,15,-0.0455,0.8721,-0.2,0.4748,0.3889,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,15,0.1911,0.4952,0.1929,0.491,0.3622,,
per_player,concurrent (W vs W),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,17,0.1696,0.5152,0.1913,0.462,0.3413,,
per_player,concurrent (W vs W),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,15,0.2425,0.3838,0.1893,0.4993,0.3503,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,9,-0.1737,0.6549,-0.1833,0.6368,0.3648,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,13,-0.1118,0.7161,-0.1816,0.5527,0.3573,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,7,-0.1215,0.7952,-0.1802,0.699,0.4285,,
per_player,sentiment leads (sent W → perf W+1),QB,Drake Maye,NE,QB,fantasy_points_ppr,15,0.1479,0.599,0.1714,0.5413,0.3566,,
per_player,concurrent (W vs W),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,16,-0.1657,0.5398,-0.1663,0.5382,0.3006,,
per_player,perf leads (perf W → sent W+1),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,13,0.1184,0.7,0.1648,0.5905,0.3147,,
per_player,perf leads (perf W → sent W+1),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,15,0.1384,0.6228,0.1643,0.5585,0.3681,,
per_player,sentiment leads (sent W → perf W+1),QB,Dak Prescott,DAL,QB,fantasy_points_ppr,15,0.1554,0.5803,0.15,0.5936,0.3736,,
per_player,perf leads (perf W → sent W+1),WR_TE,Ja'Marr Chase,CIN,WR,fantasy_points_ppr,14,-0.1689,0.5637,-0.1496,0.6097,0.3252,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,13,0.2073,0.4968,0.1484,0.6286,0.3708,,
per_player,perf leads (perf W → sent W+1),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,8,0.2232,0.5953,0.1429,0.7358,0.4327,,
per_player,perf leads (perf W → sent W+1),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,6,-0.1393,0.7924,-0.1429,0.7872,0.5383,,
