level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,concurrent (W vs W),RB,fantasy_points_ppr,98,0.4372,0.0,0.4235,0.0,0.4597,***,***
population,concurrent (W vs W),RB,stats_rushing_rush_td,98,0.4141,0.0,0.3787,0.0001,0.41,***,***
population,concurrent (W vs W),WR_TE,fantasy_points_ppr,234,0.219,0.0007,0.2607,0.0001,0.2617,***,***
population,concurrent (W vs W),RB,stats_rushing_rush_yards,98,0.2894,0.0039,0.258,0.0103,0.3184,**,*
population,concurrent (W vs W),QB,fantasy_points_ppr,152,0.22,0.0065,0.2568,0.0014,0.2587,**,**
population,concurrent (W vs W),QB,stats_passing_qb_rating,152,0.1215,0.1361,0.2506,0.0018,0.2515,,**
population,concurrent (W vs W),WR_TE,stats_receiving_rec_td,234,0.2066,0.0015,0.2481,0.0001,0.2617,**,***
population,concurrent (W vs W),QB,stats_passing_pass_int,152,-0.238,0.0032,-0.2377,0.0032,0.2505,**,**
population,concurrent (W vs W),QB,stats_passing_pass_td,152,0.1755,0.0306,0.2111,0.0091,0.2226,*,**
population,concurrent (W vs W),WR_TE,stats_receiving_rec_yards,234,0.1864,0.0042,0.2022,0.0019,0.1955,**,**
population,perf leads (perf W → sent W+1),DEF,stats_tackles_tackle_total,146,0.1492,0.0723,0.1922,0.0202,0.1906,,*
population,concurrent (W vs W),QB,stats_passing_pass_yards,152,0.1992,0.0139,0.1795,0.0269,0.2027,*,*
population,perf leads (perf W → sent W+1),RB,stats_receiving_rec_yards,86,-0.118,0.2793,-0.1728,0.1117,0.1873,,
population,concurrent (W vs W),RB,total_touches,98,0.1862,0.0664,0.1722,0.09,0.2157,,
population,sentiment leads (sent W → perf W+1),RB,stats_rushing_rush_td,84,0.1108,0.3159,0.171,0.1199,0.2041,,
population,concurrent (W vs W),RB,total_opportunities,98,0.1768,0.0816,0.1675,0.0993,0.22,,
population,concurrent (W vs W),RB,stats_receiving_rec_yards,98,0.1576,0.1212,0.1617,0.1117,0.1764,,
population,concurrent (W vs W),RB,stats_receiving_rec_td,98,0.1548,0.128,0.148,0.1458,0.164,,
population,concurrent (W vs W),DEF,stats_interceptions_passes_defended,175,0.1288,0.0894,0.145,0.0556,0.148,,
population,concurrent (W vs W),RB,stats_rushing_rush_attempts,98,0.1737,0.0873,0.1431,0.1598,0.1986,,
population,sentiment leads (sent W → perf W+1),RB,fantasy_points_ppr,84,0.0747,0.4992,0.136,0.2173,0.1838,,
population,concurrent (W vs W),WR_TE,stats_receiving_receptions,234,0.1021,0.1193,0.1357,0.0381,0.1586,,*
population,sentiment leads (sent W → perf W+1),DEF,stats_tackles_tackle_total,140,0.1438,0.0901,0.1335,0.1158,0.156,,
population,concurrent (W vs W),WR_TE,total_touches,234,0.1031,0.1158,0.1332,0.0418,0.1524,,*
population,perf leads (perf W → sent W+1),RB,stats_rushing_rush_yards,86,0.1602,0.1406,0.131,0.2292,0.1865,,
population,concurrent (W vs W),WR_TE,stats_snap_counts_offense_snaps,234,-0.0427,0.5156,-0.1277,0.0511,0.1638,,
population,sentiment leads (sent W → perf W+1),QB,stats_snap_counts_offense_snaps,133,0.0589,0.5004,0.1268,0.1457,0.1779,,
population,sentiment leads (sent W → perf W+1),RB,stats_receiving_rec_td,84,-0.1398,0.2046,-0.123,0.2649,0.1835,,
population,perf leads (perf W → sent W+1),QB,stats_passing_pass_completions,137,0.0935,0.2772,0.1194,0.1646,0.1685,,
population,concurrent (W vs W),DEF,stats_interceptions_interceptions,175,0.1153,0.1287,0.1191,0.1165,0.1233,,
population,perf leads (perf W → sent W+1),QB,stats_snap_counts_offense_snaps,137,0.0916,0.2872,0.1175,0.1717,0.1928,,
population,perf leads (perf W → sent W+1),RB,stats_receiving_targets,86,-0.1542,0.1562,-0.1165,0.2856,0.2074,,
population,perf leads (perf W → sent W+1),DEF,stats_snap_counts_offense_snaps,146,-0.0998,0.2307,-0.1161,0.163,0.1331,,
population,sentiment leads (sent W → perf W+1),RB,total_touches,84,0.0858,0.4378,0.1147,0.2987,0.2094,,
population,sentiment leads (sent W → perf W+1),RB,stats_rushing_rush_yards,84,0.0521,0.6377,0.1146,0.2994,0.1948,,
population,concurrent (W vs W),RB,stats_receiving_receptions,98,0.0729,0.4753,0.1112,0.2758,0.1838,,
population,sentiment leads (sent W → perf W+1),DEF,stats_interceptions_passes_defended,140,0.1306,0.1239,0.1089,0.2004,0.1442,,
population,perf leads (perf W → sent W+1),QB,stats_passing_pass_yards,137,0.0961,0.264,0.1084,0.2074,0.1741,,
population,perf leads (perf W → sent W+1),DEF,stats_interceptions_passes_defended,146,-0.0718,0.389,-0.108,0.1943,0.1545,,
population,perf leads (perf W → sent W+1),RB,stats_receiving_receptions,86,-0.1333,0.2212,-0.1079,0.3228,0.1766,,
population,sentiment leads (sent W → perf W+1),RB,stats_snap_counts_offense_snaps,84,0.0826,0.4552,0.105,0.342,0.1756,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_receiving_rec_td,196,-0.1248,0.0814,-0.1021,0.1543,0.1258,,
