level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,sentiment leads (sent W → perf W+1),QB,stats_rushing_rush_td,133,-0.1536,0.0775,-0.1095,0.2094,0.217,,
population,concurrent (W vs W),RB,stats_rushing_rush_td,98,0.0928,0.3636,0.106,0.299,0.1708,,
population,perf leads (perf W → sent W+1),WR_TE,stats_receiving_rec_yards,199,0.0854,0.2304,0.1051,0.1396,0.1197,,
population,sentiment leads (sent W → perf W+1),RB,stats_rushing_rush_td,84,0.0954,0.3881,0.1048,0.3427,0.1684,,
population,perf leads (perf W → sent W+1),WR_TE,fantasy_points_ppr,199,0.0818,0.2507,0.1047,0.141,0.1183,,
population,perf leads (perf W → sent W+1),WR_TE,stats_receiving_receptions,199,0.0728,0.307,0.1046,0.1415,0.1208,,
population,perf leads (perf W → sent W+1),WR_TE,total_touches,199,0.0719,0.3128,0.0996,0.1615,0.1204,,
population,concurrent (W vs W),QB,stats_rushing_rush_td,152,-0.1358,0.0954,-0.0933,0.2527,0.1862,,
population,perf leads (perf W → sent W+1),DEF,stats_tackles_tackle_total,146,0.0953,0.2526,0.0918,0.2702,0.1322,,
population,perf leads (perf W → sent W+1),WR_TE,stats_receiving_rec_td,199,0.0765,0.283,0.0908,0.2021,0.134,,
population,concurrent (W vs W),WR_TE,stats_receiving_rec_td,234,0.0739,0.2602,0.0863,0.1883,0.1172,,
population,concurrent (W vs W),QB,stats_passing_qb_rating,152,-0.0795,0.3305,-0.0862,0.2913,0.1209,,
population,perf leads (perf W → sent W+1),QB,stats_passing_qb_rating,137,-0.0988,0.2505,-0.0838,0.3304,0.1438,,
population,concurrent (W vs W),RB,stats_rushing_rush_yards,98,0.0824,0.4201,0.0776,0.4473,0.1507,,
population,sentiment leads (sent W → perf W+1),DEF,stats_tackles_tackle_total,140,0.0392,0.6458,0.0732,0.3899,0.1287,,
population,concurrent (W vs W),RB,fantasy_points_ppr,98,0.0753,0.4614,0.0712,0.4861,0.152,,
population,perf leads (perf W → sent W+1),QB,stats_rushing_rush_td,137,-0.1217,0.1566,-0.0685,0.4261,0.1717,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_receiving_rec_yards,196,0.0664,0.3548,0.0653,0.3632,0.1036,,
population,concurrent (W vs W),WR_TE,stats_receiving_rec_yards,234,0.0407,0.5357,0.0652,0.3209,0.0948,,
population,sentiment leads (sent W → perf W+1),DEF,stats_tackles_sacks,140,-0.0402,0.6375,-0.0649,0.4464,0.1115,,
population,concurrent (W vs W),QB,stats_passing_pass_int,152,-0.0774,0.3433,-0.0648,0.4274,0.1632,,
population,concurrent (W vs W),WR_TE,fantasy_points_ppr,234,0.0383,0.5604,0.0639,0.3303,0.0985,,
population,sentiment leads (sent W → perf W+1),WR_TE,fantasy_points_ppr,196,0.0584,0.4163,0.0636,0.3756,0.1035,,
population,perf leads (perf W → sent W+1),WR_TE,stats_receiving_targets,199,0.0311,0.663,0.0633,0.3742,0.0918,,
population,sentiment leads (sent W → perf W+1),DEF,stats_snap_counts_offense_snaps,140,-0.0431,0.6135,-0.0633,0.4574,0.098,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_receiving_rec_td,196,0.0643,0.3709,0.0633,0.3784,0.111,,
population,concurrent (W vs W),DEF,stats_tackles_sacks,175,-0.0352,0.644,-0.0623,0.4127,0.108,,
population,concurrent (W vs W),RB,stats_receiving_rec_yards,98,0.0367,0.7198,0.0619,0.5445,0.1439,,
population,perf leads (perf W → sent W+1),WR_TE,total_opportunities,199,0.0313,0.6608,0.0617,0.3867,0.0938,,
population,perf leads (perf W → sent W+1),WR_TE,stats_snap_counts_offense_snaps,199,0.0503,0.4807,0.0601,0.3987,0.0967,,
population,concurrent (W vs W),DEF,stats_fumbles_fum_forced,175,-0.0706,0.3534,-0.0592,0.4368,0.09,,
population,sentiment leads (sent W → perf W+1),RB,stats_receiving_rec_td,84,-0.0556,0.6154,-0.0569,0.6071,0.1155,,
population,sentiment leads (sent W → perf W+1),RB,fantasy_points_ppr,84,0.057,0.6067,0.0568,0.608,0.1553,,
population,perf leads (perf W → sent W+1),QB,stats_passing_pass_int,137,-0.0059,0.9457,0.0566,0.5116,0.1652,,
population,perf leads (perf W → sent W+1),RB,stats_receiving_rec_td,86,-0.0351,0.7481,-0.054,0.6211,0.0926,,
population,sentiment leads (sent W → perf W+1),RB,stats_rushing_rush_yards,84,0.0666,0.5474,0.0535,0.6291,0.1635,,
population,sentiment leads (sent W → perf W+1),DEF,stats_interceptions_passes_defended,140,0.0294,0.7306,0.0523,0.5394,0.1101,,
population,sentiment leads (sent W → perf W+1),WR_TE,stats_receiving_receptions,196,0.0394,0.5836,0.0492,0.4938,0.102,,
population,concurrent (W vs W),WR_TE,stats_receiving_receptions,234,0.0121,0.8542,0.0458,0.4856,0.091,,
population,perf leads (perf W → sent W+1),DEF,stats_tackles_sacks,146,-0.0369,0.6581,-0.0456,0.585,0.1256,,
population,sentiment leads (sent W → perf W+1),WR_TE,total_touches,196,0.0373,0.6035,0.045,0.5313,0.098,,
population,perf leads (perf W → sent W+1),DEF,stats_interceptions_interceptions,146,-0.0392,0.6383,-0.043,0.6062,0.107,,
population,perf leads (perf W → sent W+1),RB,stats_rushing_rush_yards,86,0.0537,0.6234,0.0412,0.7061,0.143,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_int,133,-0.0607,0.4875,-0.0373,0.6701,0.1529,,
population,concurrent (W vs W),WR_TE,total_touches,234,0.0076,0.9075,0.0364,0.5792,0.0878,,
population,perf leads (perf W → sent W+1),QB,stats_passing_pass_yards,137,0.0359,0.6774,0.0347,0.6875,0.1039,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_td,133,0.0558,0.5239,0.0332,0.7048,0.1279,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_qb_rating,133,-0.0231,0.7915,-0.0314,0.7197,0.1087,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_yards,133,0.044,0.6148,0.0307,0.726,0.1265,,
population,perf leads (perf W → sent W+1),QB,stats_rushing_rush_yards,137,0.0103,0.9046,0.0288,0.7386,0.105,,
population,concurrent (W vs W),RB,total_opportunities,98,0.0314,0.7589,0.0272,0.7905,0.1379,,
population,concurrent (W vs W),RB,stats_rushing_rush_attempts,98,0.034,0.7397,0.0265,0.7953,0.1426,,
population,perf leads (perf W → sent W+1),QB,stats_passing_pass_attempts,137,0.0271,0.7535,0.0263,0.7604,0.0967,,
population,perf leads (perf W → sent W+1),RB,fantasy_points_ppr,86,0.034,0.7562,0.0257,0.8141,0.1287,,
population,concurrent (W vs W),RB,total_touches,98,0.0325,0.751,0.0253,0.8048,0.1381,,
population,perf leads (perf W → sent W+1),DEF,stats_snap_counts_offense_snaps,146,0.0095,0.9098,-0.0252,0.763,0.0858,,
population,concurrent (W vs W),RB,stats_receiving_rec_td,98,0.037,0.7173,0.0245,0.8109,0.0906,,
population,concurrent (W vs W),DEF,stats_snap_counts_offense_snaps,175,0.0072,0.9243,0.0233,0.7599,0.0844,,
population,concurrent (W vs W),RB,stats_snap_counts_offense_snaps,98,0.0156,0.8786,0.0231,0.8215,0.1403,,
population,sentiment leads (sent W → perf W+1),DEF,stats_interceptions_interceptions,140,-0.0224,0.7924,-0.0226,0.7906,0.0746,,
population,concurrent (W vs W),QB,stats_snap_counts_offense_snaps,152,0.0062,0.9393,-0.0225,0.7835,0.115,,
population,sentiment leads (sent W → perf W+1),DEF,stats_fumbles_fum_forced,140,-0.0209,0.8065,-0.0222,0.7949,0.0693,,
population,perf leads (perf W → sent W+1),RB,stats_receiving_rec_yards,86,0.0068,0.9508,0.0222,0.8391,0.1497,,
population,perf leads (perf W → sent W+1),QB,stats_passing_pass_completions,137,0.0227,0.7921,0.0221,0.7974,0.1034,,
population,perf leads (perf W → sent W+1),DEF,stats_fumbles_fum_forced,146,-0.0453,0.5875,-0.022,0.7917,0.0894,,
population,perf leads (perf W → sent W+1),RB,stats_rushing_rush_td,86,0.0301,0.7834,0.0206,0.8507,0.1454,,
population,concurrent (W vs W),QB,stats_passing_pass_attempts,152,0.0035,0.9657,-0.0204,0.8026,0.1069,,
population,perf leads (perf W → sent W+1),QB,stats_snap_counts_offense_snaps,137,0.0242,0.779,0.0177,0.8374,0.1045,,
population,concurrent (W vs W),DEF,stats_tackles_tackle_total,175,0.0285,0.7078,0.0162,0.831,0.1024,,
population,concurrent (W vs W),DEF,stats_interceptions_passes_defended,175,0.0034,0.9643,0.0161,0.8323,0.0833,,
population,concurrent (W vs W),QB,fantasy_points_ppr,152,0.012,0.8831,-0.0146,0.8582,0.1097,,
population,concurrent (W vs W),DEF,stats_interceptions_interceptions,175,-0.0072,0.9243,-0.0138,0.8566,0.0799,,
population,concurrent (W vs W),RB,stats_receiving_receptions,98,0.0176,0.8631,0.0133,0.8965,0.1253,,
population,concurrent (W vs W),QB,stats_passing_pass_completions,152,0.007,0.9319,-0.0127,0.8764,0.109,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_completions,133,0.0197,0.8221,0.0123,0.8887,0.12,,
population,concurrent (W vs W),RB,stats_receiving_targets,98,0.0126,0.9016,0.0111,0.9135,0.1291,,
population,sentiment leads (sent W → perf W+1),RB,stats_receiving_rec_yards,84,-0.0052,0.9624,-0.011,0.9208,0.1418,,
population,sentiment leads (sent W → perf W+1),RB,stats_snap_counts_offense_snaps,84,0.012,0.9138,0.0092,0.934,0.1504,,
population,sentiment leads (sent W → perf W+1),RB,stats_rushing_rush_attempts,84,0.0256,0.8171,0.0089,0.9357,0.1496,,
population,sentiment leads (sent W → perf W+1),RB,total_opportunities,84,0.0226,0.8382,0.0086,0.9385,0.1477,,
population,concurrent (W vs W),WR_TE,total_opportunities,234,-0.034,0.6046,-0.0079,0.9045,0.074,,
