team,player,game_id,game_date,text,created_at,is_post_game,likes,retweets,replies,verified,sentiment_categories,engagement_score
Eagles,Jalen Hurts,W1,2025-09-04,@Philly__Nation It's funny people still say Jalen hurts carried when the eagles game plan completely changed taking the ball out of his hands after the two and five start they legitimately did not want him to pass because they kept losing,2025-09-06 20:46:12+00:00,True,10,0,2,False,tactical,4.25
Eagles,Jalen Hurts,W1,2025-09-04,@Rexfordkwame @JalenHurts I hate the Eagles as much as anyone but they literally smashed the Chiefs a few months back?,2025-09-06 16:18:14+00:00,True,28,0,0,False,general,4.86
Eagles,Jalen Hurts,W1,2025-09-04,@SoLaidBack_ I mean I never seen number 1 for the eagles and Jalen hurts in the same room before,2025-09-06 15:40:41+00:00,True,106,0,0,False,general,6.74
Eagles,Jalen Hurts,W1,2025-09-04,@JalenHurts True leader. MVP. Focused. Selfless. He's our QB. Enjoy every moment Philly!,2025-09-06 15:37:49+00:00,True,2,0,0,False,status,1.58
Eagles,Jalen Hurts,W1,2025-09-04,@Eagles @JalenHurts LEADER 💚💚💚,2025-09-06 15:22:39+00:00,True,4,0,1,False,general,2.82
Eagles,Jalen Hurts,W1,2025-09-04,"@JalenHurts 💪🏾💪🏾💪🏾💪🏾I told a lot of people that “22 wasn’t a fluke, they didn’t listen #EAGLES #MR. MVP",2025-09-06 15:01:28+00:00,True,2,0,0,False,status,1.58
Eagles,Jalen Hurts,W1,2025-09-04,@commiessean @JalenHurts I genuinely don’t think there was game worse for you to watch than the Eagles v Cowboys. How much did you hate that shit? 😭,2025-09-06 14:49:39+00:00,True,2,0,0,False,general,1.58
Eagles,Jalen Hurts,W1,2025-09-04,@JalenHurts The GOAT 💯Fly Eagles Fly 🦅🦅🦅🦅,2025-09-06 14:10:47+00:00,True,6,0,1,False,general,3.31
Eagles,Jalen Hurts,W1,2025-09-04,@Eagles @JalenHurts Jalen Hurts going to be MVP this season? 👀,2025-09-06 14:03:35+00:00,True,17,0,1,False,status,4.67
Eagles,Jalen Hurts,W1,2025-09-04,@Eagles @JalenHurts Trust our reps.,2025-09-06 14:02:50+00:00,True,1,0,0,False,general,1.0
Eagles,Jalen Hurts,W1,2025-09-04,"@Eagles @JalenHurts Classy guy, great leader, hell of a player. 💪",2025-09-06 14:01:24+00:00,True,13,0,0,False,general,3.81
Eagles,Jalen Hurts,W1,2025-09-04,@Eagles @JalenHurts MVP place that bet now thank me later.,2025-09-06 14:01:12+00:00,True,26,0,2,False,status,5.55
Eagles,Jalen Hurts,W1,2025-09-04,@Eagles @JalenHurts QB1 is the man! 🦅,2025-09-06 14:00:41+00:00,True,3,0,0,False,general,2.0
Eagles,Jalen Hurts,W1,2025-09-04,"@Espngreeny If Herbert was on Ravens or Eagles, they’d easily win Super Bowl. He’s a top 5 qb and better then @JalenHurts and @Lj_era8",2025-09-06 12:54:17+00:00,True,3,0,1,False,status,2.5
Eagles,Jalen Hurts,W1,2025-09-04,@NFL @AlabamaFTBL @JalenHurts @TrevonDiggs How can you post this after the Eagles were called for taunting for less??,2025-09-06 12:38:13+00:00,True,17,0,0,False,general,4.17
Eagles,Jalen Hurts,W1,2025-09-04,Mahomes played great. The Chiefs loss. Jalen Hurts played bad. The Eagles won. The Mahomes bad bitch bias is some selective ass shit.,2025-09-06 04:29:32+00:00,True,2,1,0,False,general,3.58
Eagles,Jalen Hurts,W1,2025-09-04,@RealMamaEagle @AAmaro87 Jalen Hurts is missing targets again and holding the ball too long as usual. Eagles offense clearly not firing on all cylinders due to mediocre QB play. Hurts is doing whatever it takes to lose this game.,2025-09-06 03:43:20+00:00,True,3,0,5,False,general,3.29
Eagles,Jalen Hurts,W1,2025-09-04,@NFLonFOX Any educated football analyst/fan knows Herbert is better than @JalenHurts and @Lj_era8 . @Eagles or @Ravens would be unbeatable with Hurts. Chargers have significantly less talent than Eagles and Ravens.,2025-09-06 03:24:30+00:00,True,1,0,1,False,general,1.5
Eagles,Jalen Hurts,W1,2025-09-04,Eagles fans gotta be wishing Jalen Hurts had a super team like Justin Herbert does rn,2025-09-06 03:15:27+00:00,True,12,0,1,False,general,4.2
Eagles,Jalen Hurts,W1,2025-09-04,"@Buddyboybets @NFL_DovKleiman Jalen Hurts squats 600 pounds. A lot of people don’t realize that this increases the success rate of the tush push which is successful well over 90% of the time for the Eagles. With a less powerful QB, probably 70 to 80%.",2025-09-06 01:04:52+00:00,True,8,0,2,False,general,3.96
Eagles,Saquon Barkley,W1,2025-09-04,AJ Brown was not 100% AJ Brown was well covered The Cowboys had a gameplan to stop AJ Brown (and Saquon Barkley) The Eagles still won Because..... JALEN HURTS IS ELITE And the Eagles play like a TEAM,2025-09-05 17:36:28+00:00,True,352,36,1,False,status,19.38
