,subject,team,game_id,sent_index
1,Saquon Barkley,Philadelphia Eagles,1,0.7135396670496895
51,Saquon Barkley,Philadelphia Eagles,2,0.45484463633212224
101,Saquon Barkley,Philadelphia Eagles,3,0.7662396877191219
151,Saquon Barkley,Philadelphia Eagles,4,-1.198371907529671
201,Saquon Barkley,Philadelphia Eagles,5,-0.13718379162382627
251,Saquon Barkley,Philadelphia Eagles,6,-1.665592050476314
301,Saquon Barkley,Philadelphia Eagles,7,0.2530377094085826
401,Saquon Barkley,Philadelphia Eagles,9,0.0760647495206715
451,Saquon Barkley,Philadelphia Eagles,10,1.469118160085479
501,Saquon Barkley,Philadelphia Eagles,11,0.07932236084443231
551,Saquon Barkley,Philadelphia Eagles,12,-1.1551945763509468
601,Saquon Barkley,Philadelphia Eagles,13,-0.04137691156141871
651,Saquon Barkley,Philadelphia Eagles,14,-1.6394004259291135
701,Saquon Barkley,Philadelphia Eagles,15,1.7738210741887277
751,Saquon Barkley,Philadelphia Eagles,16,0.2511316183224637
