,subject,team,game_id,sent_index
6,James Cook,Buffalo Bills,1,-1.7327900422866584
56,James Cook,Buffalo Bills,2,1.4881099839748682
106,James Cook,Buffalo Bills,3,0.18091940105655832
156,James Cook,Buffalo Bills,4,-1.2237978758991301
206,James Cook,Buffalo Bills,5,0.20121654884283166
256,James Cook,Buffalo Bills,6,-1.714887940240622
356,James Cook,Buffalo Bills,8,0.3291737070165286
406,James Cook,Buffalo Bills,9,1.4137717981296105
456,James Cook,Buffalo Bills,10,0.22339421279977087
506,James Cook,Buffalo Bills,11,1.5022589139617233
556,James Cook,Buffalo Bills,12,0.4373720373990765
606,James Cook,Buffalo Bills,13,-0.15619791398185695
656,James Cook,Buffalo Bills,14,-0.98617469475502
706,James Cook,Buffalo Bills,15,-0.30877770295073853
756,James Cook,Buffalo Bills,16,0.680085736825993
806,James Cook,Buffalo Bills,17,-0.3336761698929348
