,subject,team,game_id,sent_index
0,Jalen Hurts,Philadelphia Eagles,1,0.6076578650037012
50,Jalen Hurts,Philadelphia Eagles,2,0.06729212779974109
100,Jalen Hurts,Philadelphia Eagles,3,1.0119781973974913
150,Jalen Hurts,Philadelphia Eagles,4,-0.969670265865009
200,Jalen Hurts,Philadelphia Eagles,5,0.4682527485979345
250,Jalen Hurts,Philadelphia Eagles,6,-1.3828524935491127
300,Jalen Hurts,Philadelphia Eagles,7,0.8424628021203472
350,Jalen Hurts,Philadelphia Eagles,8,-0.7948261461704195
450,Jalen Hurts,Philadelphia Eagles,10,1.3135067722233627
500,Jalen Hurts,Philadelphia Eagles,11,-1.216175615927311
550,Jalen Hurts,Philadelphia Eagles,12,-0.9060617552473921
600,Jalen Hurts,Philadelphia Eagles,13,0.14280841391969196
650,Jalen Hurts,Philadelphia Eagles,14,-1.414655409375657
700,Jalen Hurts,Philadelphia Eagles,15,1.6873186790696189
750,Jalen Hurts,Philadelphia Eagles,16,0.5429640800030123
