player,team,week,global_index
Jalen Hurts,Philadelphia Eagles,W1,56.78867293165554
Saquon Barkley,Philadelphia Eagles,W1,64.85079145132946
AJ Brown,Philadelphia Eagles,W1,52.08501399127445
Quinyon Mitchell,Philadelphia Eagles,W1,56.61490165980233
Zack Baun,Philadelphia Eagles,W1,64.88535985304877
Josh Allen,Buffalo Bills,W1,26.57453748944586
James Cook,Buffalo Bills,W1,32.285836497805136
Dalton Kincaid,Buffalo Bills,W1,30.060415375264725
Matt Milano,Buffalo Bills,W1,31.282843000858364
Greg Rousseau,Buffalo Bills,W1,29.563027880850278
Joe Burrow,Cincinnati Bengals,W1,50.6039884449321
JaMarr Chase,Cincinnati Bengals,W1,16.769080950318866
Tee Higgins,Cincinnati Bengals,W1,49.682321330259335
Trey Hendrickson,Cincinnati Bengals,W1,49.83000883459631
Evan McPherson,Cincinnati Bengals,W1,50.11775217032972
Daniel Jones,Indianapolis Colts,W1,60.048660915961406
Jonathan Taylor,Indianapolis Colts,W1,55.69360368333944
Michael Pittman Jr,Indianapolis Colts,W1,73.55129793649455
Quenton Nelson,Indianapolis Colts,W1,69.92714838950046
Laiatu Latu,Indianapolis Colts,W1,67.50961108582736
Patrick Mahomes,Kansas City Chiefs,W1,57.86571702024106
Travis Kelce,Kansas City Chiefs,W1,48.509842039236595
Xavier Worthy,Kansas City Chiefs,W1,50.11502577406145
Caleb Williams,Kansas City Chiefs,W1,57.96465509532292
DJ Moore,Kansas City Chiefs,W1,54.4506254105749
Keenan Allen,Chicago Bears,W1,32.494947906422595
Rome Odunze,Chicago Bears,W1,43.945443953858145
Jaylon Johnson,Chicago Bears,W1,38.70930889893852
Baker Mayfield,Chicago Bears,W1,43.454640031937124
Mike Evans,Chicago Bears,W1,42.881181866805875
Chris Godwin,Tampa Bay Buccaneers,W1,63.70199591442162
Antoine Winfield Jr,Tampa Bay Buccaneers,W1,80.12051818205339
Vita Vea,Tampa Bay Buccaneers,W1,63.02125483281157
Sam Darnold,Tampa Bay Buccaneers,W1,63.7844470669852
Jaxon Smith-Njigba,Tampa Bay Buccaneers,W1,66.22353148587831
Tariq Woolen,Seattle Seahawks,W1,44.78331170221509
Kenneth Walker III,Seattle Seahawks,W1,60.38800767405152
Devon Witherspoon,Seattle Seahawks,W1,59.942452363271656
Dak Prescott,Seattle Seahawks,W1,54.58623826156095
CeeDee Lamb,Seattle Seahawks,W1,56.32219762912543
Javonte Williams,Dallas Cowboys,W1,72.20703078732214
George Pickens,Dallas Cowboys,W1,63.16239470960019
Drake Maye,Dallas Cowboys,W1,61.14217657554032
TreVeyon Henderson,Dallas Cowboys,W1,70.64571391985871
Stefon Diggs,Dallas Cowboys,W1,79.90561980541129
Christian Gonzalez,New England Patriots,W1,49.28101841734023
Kayshon Boutte,New England Patriots,W1,70.72046730623424
Quinnen Williams,New England Patriots,W1,45.4337496056878
Chris Jones,New England Patriots,W1,43.693122687838674
Trent McDuffie,New England Patriots,W1,42.62347227235935
Jalen Hurts,Philadelphia Eagles,W2,46.753211751781336
Saquon Barkley,Philadelphia Eagles,W2,59.74202006424545
AJ Brown,Philadelphia Eagles,W2,47.74659089441225
Quinyon Mitchell,Philadelphia Eagles,W2,64.29773485135085
Zack Baun,Philadelphia Eagles,W2,60.80846258041462
Josh Allen,Buffalo Bills,W2,55.94396495202983
James Cook,Buffalo Bills,W2,64.76238374893946
Dalton Kincaid,Buffalo Bills,W2,65.92383593540146
Matt Milano,Buffalo Bills,W2,39.26412228490773
Greg Rousseau,Buffalo Bills,W2,71.12689701375653
Joe Burrow,Cincinnati Bengals,W2,46.85164905924463
JaMarr Chase,Cincinnati Bengals,W2,52.345166296677206
Tee Higgins,Cincinnati Bengals,W2,52.340715089889756
Trey Hendrickson,Cincinnati Bengals,W2,42.585961416333014
Evan McPherson,Cincinnati Bengals,W2,52.80787156201419
Daniel Jones,Indianapolis Colts,W2,50.60160469252705
Jonathan Taylor,Indianapolis Colts,W2,72.31916412753503
Michael Pittman Jr,Indianapolis Colts,W2,47.78901799662348
Quenton Nelson,Indianapolis Colts,W2,47.207144515788364
Laiatu Latu,Indianapolis Colts,W2,48.26126484028201
Patrick Mahomes,Kansas City Chiefs,W2,52.63980058054511
Travis Kelce,Kansas City Chiefs,W2,46.601113489518156
Xavier Worthy,Kansas City Chiefs,W2,38.655883472021706
Caleb Williams,Kansas City Chiefs,W2,44.660970226895216
DJ Moore,Kansas City Chiefs,W2,43.54465515092814
Keenan Allen,Chicago Bears,W2,20.736905712506143
Rome Odunze,Chicago Bears,W2,30.65157863799435
Jaylon Johnson,Chicago Bears,W2,10.229750284530752
Baker Mayfield,Chicago Bears,W2,25.06078034378845
Mike Evans,Chicago Bears,W2,22.553814577564403
Chris Godwin,Tampa Bay Buccaneers,W2,60.76479622999266
Antoine Winfield Jr,Tampa Bay Buccaneers,W2,73.1385693020597
Vita Vea,Tampa Bay Buccaneers,W2,50.0
Sam Darnold,Tampa Bay Buccaneers,W2,65.4264651878485
Jaxon Smith-Njigba,Tampa Bay Buccaneers,W2,70.15783231152791
Tariq Woolen,Seattle Seahawks,W2,80.20747807456887
Kenneth Walker III,Seattle Seahawks,W2,53.372064622651536
Devon Witherspoon,Seattle Seahawks,W2,45.85286653303609
Dak Prescott,Seattle Seahawks,W2,53.35296854815351
CeeDee Lamb,Seattle Seahawks,W2,52.41271077971233
Javonte Williams,Dallas Cowboys,W2,41.41076470525368
George Pickens,Dallas Cowboys,W2,50.154288093934895
Drake Maye,Dallas Cowboys,W2,52.63128393158516
TreVeyon Henderson,Dallas Cowboys,W2,26.92391786642223
Stefon Diggs,Dallas Cowboys,W2,40.55108476903969
Christian Gonzalez,New England Patriots,W2,75.48234185987334
Kayshon Boutte,New England Patriots,W2,68.81235638484611
Quinnen Williams,New England Patriots,W2,55.18434190009823
Chris Jones,New England Patriots,W2,61.990037175922176
Trent McDuffie,New England Patriots,W2,60.92038676044286
Jalen Hurts,Philadelphia Eagles,W3,64.29755204928213
Saquon Barkley,Philadelphia Eagles,W3,65.89152407362968
AJ Brown,Philadelphia Eagles,W3,62.62467363692404
Quinyon Mitchell,Philadelphia Eagles,W3,77.8033896683493
Zack Baun,Philadelphia Eagles,W3,76.46950616089043
Josh Allen,Buffalo Bills,W3,38.3028566395802
James Cook,Buffalo Bills,W3,51.581894945733964
Dalton Kincaid,Buffalo Bills,W3,53.203602334695375
Matt Milano,Buffalo Bills,W3,41.275259748634255
Greg Rousseau,Buffalo Bills,W3,48.83606721105156
