subject
Jalen Hurts
Saquon Barkley
AJ Brown
Quinyon Mitchell
Zack Baun
Josh Allen
James Cook
Dalton Kincaid
Matt Milano
Greg Rousseau
Joe Burrow
JaMarr Chase
Tee Higgins
Trey Hendrickson
Evan McPherson
Daniel Jones
Jonathan Taylor
Michael Pittman Jr
Quenton Nelson
Laiatu Latu
Patrick Mahomes
Travis Kelce
Xavier Worthy
Caleb Williams
DJ Moore
Keenan Allen
Rome Odunze
Jaylon Johnson
Baker Mayfield
Mike Evans
Chris Godwin
Antoine Winfield Jr
Vita Vea
Sam Darnold
Jaxon Smith-Njigba
Tariq Woolen
Kenneth Walker III
Devon Witherspoon
Dak Prescott
CeeDee Lamb
Javonte Williams
George Pickens
Drake Maye
TreVeyon Henderson
Stefon Diggs
Christian Gonzalez
Kayshon Boutte
Quinnen Williams
Chris Jones
Trent McDuffie
